episode,episode_variant,controller,scenario_id,scenario_name,mode,frame_id,start_row,start_col,goal_row,goal_col,start_obstacle_risk,goal_obstacle_risk,success,collided,done_reason,steps,path_length,start_distance,final_distance,path_efficiency,progress_efficiency,min_obstacle_distance_cells,mean_obstacle_risk,max_obstacle_risk,mean_hazard_risk,max_hazard_risk,hazard_exposure_steps,shield_interventions,shield_intervention_rate,perception_latency_ms,avg_ppo_decision_latency_ms,p50_ppo_decision_latency_ms,p95_ppo_decision_latency_ms,avg_shield_decision_latency_ms,p50_shield_decision_latency_ms,p95_shield_decision_latency_ms,avg_total_inference_latency_ms,elapsed_ms,selected_visual
44,4,raw_ppo,dense_corridor,Dense Corridor,mono,0050,9,9,48,2,0.16666662693023682,0.0,0,0,max_steps,200,56.56854249492377,39.6232255123179,47.01063709417264,0.0,0.0,1.0,0.0008291871986578946,0.16666662693023682,0.006901307676249466,0.18917879462242126,0,0,0.0,6.563708000612678,0.5171755949999999,0.51,0.56941695,0.0,0.0,0.0,7.080883595612677,115.1049170002807,
45,4,raw_ppo,obstacle_cluster,Obstacle Cluster,stereo,0060,9,9,48,2,0.0,0.0,0,1,collision_risk,3,4.242640687119286,39.6232255123179,37.36308338453881,0.0,0.5327206083326623,0.0,0.6939621418714523,0.9999998807907104,0.12729209195822477,0.29396936297416687,0,0,0.0,8.926332999180886,0.892083,0.8075,1.0497493999999998,0.0,0.0,0.0,9.818415999180885,2.96212499961257,
46,4,raw_ppo,obstacle_cluster,Obstacle Cluster,mono,0060,9,9,48,2,0.16666662693023682,0.0,0,0,max_steps,200,56.56854249492377,39.6232255123179,47.01063709417264,0.0,0.0,1.0,0.0008291871986578946,0.16666662693023682,0.0027004136094992692,0.05561278387904167,0,0,0.0,6.788624999899184,0.67354958,0.5606880000000001,1.0049797999999999,0.0,0.0,0.0,7.462174579899184,150.26216700061923,
47,4,raw_ppo,lateral_maneuver,Lateral Maneuver,stereo,0010,1,2,46,37,0.0,0.0,0,0,max_steps,200,67.46803743153542,57.0087712549569,12.36931687685298,0.0,0.6616385488225106,8.39996337890625,0.032525449585799705,0.7515430450439453,0.02370304545815074,0.6547917127609253,0,0,0.0,13.21158299833769,0.5116358099999999,0.5076665,0.5573122,0.0,0.0,0.0,13.72321880833769,114.68849999801023,
48,4,raw_ppo,lateral_maneuver,Lateral Maneuver,mono,0010,1,2,46,37,0.0,0.11824844777584076,0,1,collision_risk,39,55.154328932550676,57.0087712549569,7.211102550927978,0.0,0.9028786981512816,0.0,0.04611785709857941,0.9999998807907104,0.13099203878782645,0.6547917127609253,0,0,0.0,169.17329100033385,0.5058311794871794,0.506834,0.5335965,0.0,0.0,0.0,169.67912217982104,22.113332997832913,
49,4,raw_ppo,stress_density,Stress Density,stereo,0040,1,2,29,9,0.0,0.0,0,1,collision_risk,8,11.313708498984763,28.861739379323623,20.024984394500787,0.0,0.7810661716815316,0.0,0.11057527197731866,0.9951774477958679,5.448496799292318e-05,0.00017676233255770057,0,0,0.0,9.763624999322928,0.511421875,0.5135205,0.5325124,0.0,0.0,0.0,10.275046874322928,4.59904200033634,
50,4,raw_ppo,stress_density,Stress Density,mono,0040,1,2,29,9,0.0,0.0,0,1,collision_risk,29,41.012193308819754,28.861739379323623,22.02271554554524,0.0,0.1667558665365902,0.0,0.05677082935969035,0.9999998807907104,0.06405678903773525,0.2496269941329956,0,0,0.0,6.436416999349603,0.5071925862068966,0.510291,0.5296088,0.0,0.0,0.0,6.9436095855565,16.477541998028755,
51,5,raw_ppo,baseline_open,Baseline Open,stereo,0020,2,2,38,46,0.0,0.0,0,0,max_steps,200,66.46803743153542,56.85068161420758,11.40175425099138,0.0,0.6837711645996816,2.1968994140625,0.10774252794923919,0.9353779554367065,0.06317105398435767,0.6339129209518433,0,0,0.0,12.161624999862397,0.51745102,0.5145835000000001,0.55429615,0.0,0.0,0.0,12.679076019862396,115.62787500224658,
52,5,raw_ppo,baseline_open,Baseline Open,mono,0020,2,2,38,46,0.0,0.1527777761220932,0,1,collision_risk,37,52.32590180780449,56.85068161420758,7.0710678118654755,0.0,0.9513379049860426,0.0,0.026539145674752563,0.9999998807907104,0.19007367742278877,0.8321429491043091,4,0,0.0,8.002416998351691,0.5133164054054055,0.509916,0.5343079999999999,0.0,0.0,0.0,8.515733403757096,21.184749999520136,
53,5,raw_ppo,dense_corridor,Dense Corridor,stereo,0050,9,9,47,2,0.0,0.0,0,1,collision_risk,3,4.242640687119286,38.63935817272331,36.40054944640259,0.0,0.5276922773869994,0.0,0.6939621418714523,0.9999998807907104,0.06126893381588161,0.1448693722486496,0,0,0.0,9.967291000066325,0.5354863333333334,0.5315,0.5497628,0.0,0.0,0.0,10.502777333399658,1.7922919978445861,
54,5,raw_ppo,dense_corridor,Dense Corridor,mono,0050,9,9,47,2,0.16666662693023682,0.0,0,0,max_steps,200,56.56854249492377,38.63935817272331,47.042533945356304,0.0,0.0,1.0,0.0008291871986578946,0.16666662693023682,0.025865683202971865,0.542120099067688,0,0,0.0,6.563708000612678,0.5371920649999999,0.53675,0.5653151999999999,0.0,0.0,0.0,7.100900065612678,120.1504999989993,
55,5,raw_ppo,obstacle_cluster,Obstacle Cluster,stereo,0060,9,9,47,2,0.0,0.0,0,1,collision_risk,3,4.242640687119286,38.63935817272331,36.40054944640259,0.0,0.5276922773869994,0.0,0.6939621418714523,0.9999998807907104,0.1412960086017847,0.2915705740451813,0,0,0.0,8.926332999180886,0.5725693333333334,0.565083,0.5981588999999999,0.0,0.0,0.0,9.49890233251422,1.9130000000586733,
56,5,raw_ppo,obstacle_cluster,Obstacle Cluster,mono,0060,9,9,47,2,0.16666662693023682,0.0,0,0,max_steps,200,56.56854249492377,38.63935817272331,47.042533945356304,0.0,0.0,1.0,0.0008291871986578946,0.16666662693023682,0.0028277151663046855,0.03688038885593414,0,0,0.0,6.788624999899184,0.534058565,0.5282915,0.5766562500000001,0.0,0.0,0.0,7.322683564899185,119.40858299931278,
57,5,raw_ppo,lateral_maneuver,Lateral Maneuver,stereo,0010,2,2,46,37,0.0,0.0,0,0,max_steps,200,66.46803743153542,56.22277118748239,12.36931687685298,0.0,0.6597675515212873,9.196868896484375,0.04118968977300978,0.7606095671653748,0.0024354198823972432,0.05808022990822792,0,0,0.0,13.21158299833769,0.51269023,0.5091669999999999,0.5317541499999999,0.0,0.0,0.0,13.72427322833769,114.24970900043263,
58,5,raw_ppo,lateral_maneuver,Lateral Maneuver,mono,0010,2,2,46,37,0.0,0.11824844777584076,0,1,collision_risk,38,53.740115370177584,56.22277118748239,6.708203932499369,0.0,0.9213706914083128,0.0,0.02502275124574319,0.9758872985839844,0.0031573576095493073,0.016036754474043846,0,0,0.0,169.17329100033385,0.7476392631578946,0.5871875,1.091315249999999,0.0,0.0,0.0,169.92093026349175,31.059958000696497,
59,5,raw_ppo,stress_density,Stress Density,stereo,0040,2,2,29,9,0.0,0.0,0,1,collision_risk,8,11.313708498984763,27.892651361962706,19.026297590440446,0.0,0.7836823595302886,0.0,0.1111111111111111,1.0,1.8258109981199425e-12,1.1374221009496921e-11,0,0,0.0,9.763624999322928,2.2042863749999997,2.2850625,4.205104049999999,0.0,0.0,0.0,11.967911374322927,18.762167001113994,
60,5,raw_ppo,stress_density,Stress Density,mono,0040,2,2,29,9,0.0,0.0,0,1,collision_risk,28,39.59797974644666,27.892651361962706,21.02379604162864,0.0,0.17346479199991122,0.0,0.053273996402477396,1.0,2.5409781758023872e-05,0.0004661737766582519,0,0,0.0,6.436416999349603,1.9882901785714284,1.3654795000000002,3.8414828999999995,0.0,0.0,0.0,8.424707177921032,62.73700000019744,
61,6,raw_ppo,baseline_open,Baseline Open,stereo,0020,2,4,37,44,0.0,0.11516202986240387,0,0,max_steps,200,65.63961030678922,53.150729063673246,13.0,0.0,0.6116844520559316,1.0,0.10336914125700199,0.8823301792144775,0.03375635971794023,0.6499999761581421,0,0,0.0,12.161624999862397,0.7634193899999999,0.6289994999999999,1.4185771,0.0,0.0,0.0,12.925044389862396,171.61837499952526,
62,6,raw_ppo,baseline_open,Baseline Open,mono,0020,2,4,37,44,0.0,0.0,0,1,collision_risk,37,52.32590180780449,53.150729063673246,3.605551275463989,0.0,0.9468575997063755,0.0,0.03654970307099192,0.9999998807907104,0.027224021250863956,0.3727127015590668,0,0,0.0,8.002416998351691,0.5403332702702703,0.535833,0.616767,0.0,0.0,0.0,8.542750268621962,22.504458000184968,
63,6,raw_ppo,dense_corridor,Dense Corridor,stereo,0050,9,12,47,1,0.49035486578941345,0.0,0,1,collision_risk,1,1.4142135623730951,39.56008088970496,38.897300677553446,0.0,0.46865638244859653,0.0,0.7451774328947067,1.0,1.2582323377641202e-10,1.9410209550763113e-10,0,0,0.0,9.967291000066325,0.529958,0.529958,0.529958,0.0,0.0,0.0,10.497249000066326,0.5924170000071172,
