mode,perturbation_type,severity,clean_success_rate,perturbed_success_rate,success_rate_drop,clean_collision_rate,perturbed_collision_rate,collision_rate_increase,clean_timeout_rate,perturbed_timeout_rate,timeout_rate_increase,clean_path_efficiency,perturbed_path_efficiency,path_efficiency_reduction,clean_min_obstacle_distance_cells,perturbed_min_obstacle_distance_cells,min_obstacle_distance_reduction,clean_total_inference_latency_ms,perturbed_total_inference_latency_ms,inference_latency_change_ms
mono,partial_occlusion,low,0.956,0.92,0.03599999999999992,0.0,0.04,0.04,0.044,0.04,-0.003999999999999997,0.7600523268124411,0.7255790036151013,0.034473323197339756,1.336685791015625,1.28948583984375,0.04719995117187481,40.84080250337608,40.86973197339563,0.028929470019548376
mono,partial_occlusion,medium,0.956,0.868,0.08799999999999997,0.0,0.092,0.092,0.044,0.04,-0.003999999999999997,0.7600523268124411,0.6784183360101579,0.08163399080228317,1.336685791015625,1.2398858642578126,0.09679992675781235,40.84080250337608,40.883790021822826,0.04298751844674342
mono,reduced_resolution,extreme,0.956,0.724,0.23199999999999998,0.0,0.012,0.012,0.044,0.264,0.22000000000000003,0.7600523268124411,0.5241438976049679,0.23590842920747312,1.336685791015625,1.4613616943359375,-0.12467590332031264,40.84080250337608,40.861297366550815,0.020494863174732814
mono,reduced_resolution,high,0.956,0.728,0.22799999999999998,0.0,0.052,0.052,0.044,0.22,0.176,0.7600523268124411,0.5399988665328478,0.22005346027959327,1.336685791015625,1.4366356201171875,-0.09994982910156258,40.84080250337608,40.86423282975634,0.023430326380257327
mono,reduced_resolution,low,0.956,0.92,0.03599999999999992,0.0,0.0,0.0,0.044,0.08,0.036000000000000004,0.7600523268124411,0.7201830571000964,0.03986926971234461,1.336685791015625,1.4286612548828126,-0.09197546386718769,40.84080250337608,40.88408110656294,0.043278603186855946
mono,reduced_resolution,medium,0.956,0.768,0.18799999999999994,0.0,0.0,0.0,0.044,0.232,0.188,0.7600523268124411,0.5751570187015879,0.1848953081108532,1.336685791015625,1.4574609375,-0.12077514648437515,40.84080250337608,40.874246423708996,0.03344392033291399
stereo,depth_noise,extreme,0.808,0.764,0.04400000000000004,0.0,0.008,0.008,0.192,0.228,0.036000000000000004,0.6408890941831855,0.5948735097957492,0.04601558438743636,2.7979093017578127,2.8320125732421877,-0.034103271484374975,12.255187650534305,12.26934196037756,0.014154309843254609
stereo,depth_noise,high,0.808,0.828,-0.019999999999999907,0.0,0.004,0.004,0.192,0.168,-0.023999999999999994,0.6408890941831855,0.6433071452571257,-0.0024180510739402195,2.7979093017578127,2.764197998046875,0.03371130371093756,12.255187650534305,12.294173352057532,0.038985701523227334
stereo,depth_noise,low,0.808,0.848,-0.039999999999999925,0.0,0.0,0.0,0.192,0.152,-0.04000000000000001,0.6408890941831855,0.6613043019482759,-0.020415207765090426,2.7979093017578127,2.8010721435546877,-0.0031628417968749822,12.255187650534305,12.305745063059462,0.050557412525156664
stereo,depth_noise,medium,0.808,0.848,-0.039999999999999925,0.0,0.012,0.012,0.192,0.14,-0.05199999999999999,0.6408890941831855,0.6638014395879448,-0.022912345404759282,2.7979093017578127,2.798499267578125,-0.0005899658203123437,12.255187650534305,12.23050764784991,-0.024680002684394964
