hazard_density,hazard_density_seed,episode,episode_variant,controller,scenario_id,scenario_name,mode,frame_id,step,row,col,event_type,event_value
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,97,26,9,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,98,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,99,26,7,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,100,25,8,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,102,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,103,26,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,104,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,105,25,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,106,26,9,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,107,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,108,26,7,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,109,25,8,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,111,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,112,26,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,113,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,114,25,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,115,26,9,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,116,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,117,26,7,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,118,25,8,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,120,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,121,26,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,122,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,123,25,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,124,26,9,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,125,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,126,26,7,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,127,25,8,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,129,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,130,26,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,131,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,132,25,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,133,26,9,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,134,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,135,26,7,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,136,25,8,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,138,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,139,26,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,140,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,141,25,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,142,26,9,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,143,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,144,26,7,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,145,25,8,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,147,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,148,26,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,149,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,150,25,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,151,26,9,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,152,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,153,26,7,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,154,25,8,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,156,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,157,26,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,158,26,8,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,159,25,9,shield_intervention,lookahead_safer
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,160,26,9,shield_intervention,obstacle_risk
high,25914,1689,18,ppo_shield,stress_density,Stress Density,stereo,0040,161,26,8,shield_intervention,obstacle_risk
