hazard_density,hazard_density_seed,episode,episode_variant,controller,scenario_id,scenario_name,mode,frame_id,step,row,col,ppo_action,selected_action,reason,proposed_score,selected_score,obstacle_risk,perceived_obstacle_risk,hazard_risk,distance_to_goal,shield_decision_latency_ms
none,29256,5,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,5,14,8,3,5,obstacle_risk,10214.000441083388,-7.62006945229751,0.0,0.0,0.0,33.54101966249684,0.832458
none,29256,5,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,7,16,8,3,5,obstacle_risk,212.3353967522204,-7.882325389484403,0.0,0.0,0.0,31.575306807693888,0.949416
none,29256,5,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,9,18,8,3,5,obstacle_risk,211.83489537241368,-8.153475006327948,0.0,0.0,0.0,29.614185789921695,0.853625
none,29256,5,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,11,20,8,3,5,obstacle_risk,10213.889653164691,-8.435005224848016,0.0,0.0,0.0,27.65863337187866,0.8985
none,29256,5,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,13,22,8,3,5,obstacle_risk,10213.776052737236,-8.728710832980013,0.0,0.0,0.0,25.709920264364882,0.772625
none,29256,5,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,15,24,8,3,5,obstacle_risk,10213.677276603208,-9.036752768317463,0.0,0.0,0.0,23.769728648009426,0.763958
none,29256,5,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,17,26,8,3,5,obstacle_risk,10213.598094198975,-9.361706980985073,0.0,0.0,0.0,21.840329667841555,0.891416
none,29256,5,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,19,28,8,3,5,obstacle_risk,10213.545389587447,-9.706567680136281,0.0,0.0,0.0,19.924858845171276,0.771958
none,29256,5,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,21,30,8,3,5,obstacle_risk,10213.529340205492,-10.074611534380082,0.0,0.0,0.0,18.027756377319946,0.8045
none,29256,5,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,23,32,8,3,5,obstacle_risk,10213.565460046368,-10.468884177132896,0.0,0.0,0.0,16.15549442140351,0.77025
none,29256,5,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,25,34,8,3,5,obstacle_risk,10213.678135439097,-10.890690651426572,0.0,0.0,0.0,14.317821063276353,0.907334
none,29256,5,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,27,36,8,3,5,obstacle_risk,10213.906856169198,-11.33544249112773,0.0,0.0,0.0,12.529964086141668,0.769625
none,29256,5,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,29,38,8,3,5,obstacle_risk,10213.522307869212,-11.781343140051181,0.0,0.0,0.0,10.816653826391969,0.781167
none,29256,5,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,30,39,7,3,5,lookahead_safer,-5.91570136253389,-11.814369391551978,0.0,0.0,0.0,9.433981132056603,0.786167
none,29256,5,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,31,40,6,3,5,lookahead_safer,-6.1776771893543145,-11.788245934716674,0.0,0.0,0.0,8.06225774829855,0.771333
