profile,environment,method,episode,seed,success,steps,path_length,path_efficiency,final_distance,hazard_encounters,total_reward,hazard_penalty,elapsed_time,fire_zone_count,avg_fire_intensity,max_gt_hazard,high_risk_cell_fraction
fire_light,Light/Sparse Fire,PPO,6,20260535,0,17,24.041630560342618,0.0,39.59797974644666,1,0.15362318964298538,0.5311540365219116,0.6705789566040039,1,0.5975483080536963,0.5975483059883118,0.0052
fire_light,Light/Sparse Fire,A*,7,20260536,1,54,72.22539674441616,0.8811251052312058,0.0,0,412.7383701047037,0.0,1.920356035232544,2,0.6212268276574975,0.6500987410545349,0.0104
fire_light,Light/Sparse Fire,PPO,7,20260536,0,15,21.21320343559643,0.0,42.42640687119285,2,-22.17083741468865,0.8667983710765839,0.5994541645050049,2,0.6212268276574975,0.6500987410545349,0.0104
fire_light,Light/Sparse Fire,A*,8,20260537,1,50,68.22539674441617,0.9327847596869825,0.0,0,413.5791820176811,0.0,1.793308973312378,1,0.5778785506637955,0.5778785347938538,0.0052
fire_light,Light/Sparse Fire,PPO,8,20260537,0,21,29.698484809835,0.0,33.94112549695428,0,37.50868135544428,0.0,0.8218231201171875,1,0.5778785506637955,0.5778785347938538,0.0052
fire_light,Light/Sparse Fire,A*,9,20260538,1,50,67.39696961966999,0.944250322617115,0.0,0,412.89199370334194,0.0,2.1041860580444336,1,0.7281036136063771,0.7281036376953125,0.0052
fire_light,Light/Sparse Fire,PPO,9,20260538,0,22,31.112698372208097,0.0,32.526911934581186,0,38.708595191582134,0.0,0.9299871921539307,1,0.7281036136063771,0.7281036376953125,0.0052
fire_light,Light/Sparse Fire,A*,10,20260539,1,47,65.63961030678927,0.9695305930267974,0.0,0,413.36971665758557,0.0,2.0289251804351807,1,0.6954409190990399,0.695440948009491,0.0052
fire_light,Light/Sparse Fire,PPO,10,20260539,0,21,29.698484809835,0.0,33.94112549695428,1,37.01516754344445,0.38635605573654175,0.9017469882965088,1,0.6954409190990399,0.695440948009491,0.0052
fire_light,Light/Sparse Fire,A*,11,20260540,1,49,66.81118318204308,0.9525293113487888,0.0,0,413.6614665248537,0.0,2.2692127227783203,1,0.6916469820378414,0.6916469931602478,0.0052
fire_light,Light/Sparse Fire,PPO,11,20260540,0,24,33.941125496954285,0.0,29.698484809834994,0,58.36653395114314,0.0,1.0813350677490234,1,0.6916469820378414,0.6916469931602478,0.0052
fire_light,Light/Sparse Fire,A*,12,20260541,1,49,67.63961030678928,0.9408630537364508,0.0,0,412.56560632115,0.0,2.0910189151763916,1,0.6851359025752312,0.6851359009742737,0.0052
fire_light,Light/Sparse Fire,PPO,12,20260541,0,24,33.941125496954285,0.0,29.698484809834994,0,58.675633375111886,0.0,0.9541430473327637,1,0.6851359025752312,0.6851359009742737,0.0052
fire_light,Light/Sparse Fire,A*,13,20260542,1,57,72.32590180780451,0.8799006817212209,0.0,0,413.6172653826987,0.0,1.784764051437378,2,0.6127314305175864,0.6697275042533875,0.0104
fire_light,Light/Sparse Fire,PPO,13,20260542,0,14,19.798989873223334,0.0,43.840620433565945,1,-15.167891365533706,0.4322386085987091,0.5739679336547852,2,0.6127314305175864,0.6697275042533875,0.0104
fire_light,Light/Sparse Fire,A*,14,20260543,1,51,68.81118318204308,0.9248440059289175,0.0,0,413.7136373583143,0.0,2.0179169178009033,1,0.6199487714920792,0.6199487447738647,0.0052
fire_light,Light/Sparse Fire,PPO,14,20260543,0,22,31.112698372208097,0.0,32.526911934581186,0,44.62749648622659,0.0,0.8342709541320801,1,0.6199487714920792,0.6199487447738647,0.0052
fire_light,Light/Sparse Fire,A*,15,20260544,1,48,67.05382386916239,0.9490824927593238,0.0,0,413.42005322145087,0.0,1.633178949356079,1,0.5532285112889501,0.553228497505188,0.0052
fire_light,Light/Sparse Fire,PPO,15,20260544,0,20,28.284271247461906,0.0,35.35533905932738,1,29.979050484978046,0.30734917521476746,0.7637040615081787,1,0.5532285112889501,0.553228497505188,0.0052
fire_light,Light/Sparse Fire,A*,16,20260545,1,47,65.63961030678927,0.9695305930267974,0.0,0,413.2418095311424,0.0,1.6445538997650146,2,0.6488750548872284,0.7194628715515137,0.0104
