episode,episode_variant,scenario_id,scenario_name,mode,step,action,action_confidence,row,col,cell_risk,distance_to_goal,progress,done,done_reason
1,0,baseline_open,Baseline Open,stereo,32,3,0.9561822414398193,34,34,0.1784336417913437,12.649110640673518,1.2792776365106011,0,
1,0,baseline_open,Baseline Open,stereo,33,3,0.9551510214805603,35,35,0.47164350748062134,11.40175425099138,1.247356389682139,0,
1,0,baseline_open,Baseline Open,stereo,34,3,0.9542881846427917,36,36,0.6990739703178406,10.198039027185569,1.2037152238058102,0,
1,0,baseline_open,Baseline Open,stereo,35,3,0.953543484210968,37,37,0.5875771045684814,9.055385138137417,1.1426538890481517,0,
1,0,baseline_open,Baseline Open,stereo,36,3,0.9528219103813171,38,38,0.17650462687015533,8.0,1.0553851381374173,0,
1,0,baseline_open,Baseline Open,stereo,37,3,0.9521485567092896,39,39,0.7378471493721008,7.0710678118654755,0.9289321881345245,0,
1,0,baseline_open,Baseline Open,stereo,38,3,0.9513372182846069,40,40,0.8294751644134521,6.324555320336759,0.7465124915287165,0,
1,0,baseline_open,Baseline Open,stereo,39,3,0.9504711031913757,41,41,0.3742283284664154,5.830951894845301,0.4936034254914583,0,
1,0,baseline_open,Baseline Open,stereo,40,3,0.9497835636138916,42,42,0.0,5.656854249492381,0.17409764535292016,0,
1,0,baseline_open,Baseline Open,stereo,41,3,0.9494045376777649,43,43,0.0,5.830951894845301,-0.17409764535292016,0,
1,0,baseline_open,Baseline Open,stereo,42,3,0.9493480920791626,44,44,0.0,6.324555320336759,-0.4936034254914583,0,
1,0,baseline_open,Baseline Open,stereo,43,3,0.9494885802268982,45,45,0.48032405972480774,7.0710678118654755,-0.7465124915287165,0,
1,0,baseline_open,Baseline Open,stereo,44,3,0.9498988389968872,46,46,0.01774691417813301,8.0,-0.9289321881345245,0,
1,0,baseline_open,Baseline Open,stereo,45,3,0.9504685997962952,47,47,0.10435956716537476,9.055385138137417,-1.0553851381374173,0,
1,0,baseline_open,Baseline Open,stereo,46,3,0.9510824680328369,48,48,0.9353779554367065,10.198039027185569,-1.1426538890481517,0,
1,0,baseline_open,Baseline Open,stereo,47,3,0.9516194462776184,49,49,0.06925153732299805,11.40175425099138,-1.2037152238058102,0,
1,0,baseline_open,Baseline Open,stereo,48,3,0.9521353840827942,49,49,0.06925153732299805,11.40175425099138,0.0,0,
