episode,episode_variant,scenario_id,scenario_name,mode,frame_id,start_row,start_col,goal_row,goal_col,start_risk,goal_risk,success,collided,done_reason,steps,path_length,start_distance,final_distance,path_efficiency,mean_path_risk,max_path_risk,elapsed_ms,trajectory_png
28,2,lateral_maneuver,Lateral Maneuver,mono,0010,4,2,44,37,0.0,0.0,0,1,collision_risk,38,53.740115370177584,53.150729063673246,3.605551275463989,0.0,0.030710864812135696,0.9999999403953552,23.505249999288935,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_028_lateral_maneuver_mono_trajectory.png
29,2,stress_density,Stress Density,stereo,0040,4,2,27,9,0.0,0.0,0,1,collision_risk,8,11.313708498984763,24.041630560342615,15.033296378372908,0.0,0.1111111044883728,0.9999999403953552,5.411834001279203,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_029_stress_density_stereo_trajectory.png
30,2,stress_density,Stress Density,mono,0040,4,2,27,9,0.0,0.0,0,1,collision_risk,26,36.76955262170048,24.041630560342615,19.235384061671343,0.0,0.047682326287031174,1.0,16.323332998581463,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_030_stress_density_mono_trajectory.png
31,3,baseline_open,Baseline Open,stereo,0020,2,1,38,46,0.0,0.0,0,0,max_steps,200,67.46803743153542,57.62811813689564,11.40175425099138,0.0,0.11441345512866974,0.9193671345710754,127.19016700066277,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_031_baseline_open_stereo_trajectory.png
32,3,baseline_open,Baseline Open,mono,0020,2,1,38,46,0.0,0.1527777761220932,0,1,collision_risk,38,53.740115370177584,57.62811813689564,7.280109889280518,0.0,0.045974791049957275,0.9999998807907104,24.16379200076335,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_032_baseline_open_mono_trajectory.png
33,3,dense_corridor,Dense Corridor,stereo,0050,10,7,47,4,0.0,0.0,0,1,collision_risk,3,4.242640687119286,37.12142238654117,34.52535300326414,0.0,0.25,1.0,1.8315409979550168,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_033_dense_corridor_stereo_trajectory.png
34,3,dense_corridor,Dense Corridor,mono,0050,10,7,47,4,0.27681323885917664,0.0,0,0,max_steps,200,58.154328932550676,37.12142238654117,45.044422518220834,0.0,0.001377180335111916,0.27681323885917664,130.84433400217677,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_034_dense_corridor_mono_trajectory.png
35,3,obstacle_cluster,Obstacle Cluster,stereo,0060,10,7,47,4,0.0,0.0,0,1,collision_risk,3,4.242640687119286,37.12142238654117,34.52535300326414,0.0,0.25,1.0,1.7732500018610153,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_035_obstacle_cluster_stereo_trajectory.png
36,3,obstacle_cluster,Obstacle Cluster,mono,0060,10,7,47,4,0.27681323885917664,0.0,0,0,max_steps,200,58.154328932550676,37.12142238654117,45.044422518220834,0.0,0.001377180335111916,0.27681323885917664,125.64895800096565,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_036_obstacle_cluster_mono_trajectory.png
37,3,lateral_maneuver,Lateral Maneuver,stereo,0010,2,1,45,38,0.0,0.3078703284263611,0,0,max_steps,200,67.46803743153542,56.72741841473134,11.704699910719626,0.0,0.03884992003440857,0.6153548359870911,126.17283299914561,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_037_lateral_maneuver_stereo_trajectory.png
38,3,lateral_maneuver,Lateral Maneuver,mono,0010,2,1,45,38,0.0,0.15740740299224854,0,1,collision_risk,39,55.154328932550676,56.72741841473134,4.47213595499958,0.0,0.025675153359770775,0.9999999403953552,25.43475000129547,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_038_lateral_maneuver_mono_trajectory.png
39,3,stress_density,Stress Density,stereo,0040,2,1,29,9,0.0,0.0,0,1,collision_risk,10,14.142135623730955,28.160255680657446,17.11724276862369,0.0,0.17324282228946686,0.9972992539405823,6.398333000106504,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_039_stress_density_stereo_trajectory.png
40,3,stress_density,Stress Density,mono,0040,2,1,29,9,0.0,0.0,0,1,collision_risk,28,39.59797974644666,28.160255680657446,20.024984394500787,0.0,0.049382712692022324,0.9999998807907104,17.387915999279357,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_040_stress_density_mono_trajectory.png
41,4,baseline_open,Baseline Open,stereo,0020,1,2,39,45,0.0,0.0,0,0,max_steps,200,67.46803743153542,57.38466694161429,10.770329614269007,0.0,0.10003799945116043,0.8724921345710754,128.2379160002165,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_041_baseline_open_stereo_trajectory.png
42,4,baseline_open,Baseline Open,mono,0020,1,2,39,45,0.0,0.4484953284263611,0,1,collision_risk,38,53.740115370177584,57.38466694161429,5.0,0.0,0.033436212688684464,1.0,28.597167001862545,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_042_baseline_open_mono_trajectory.png
43,4,dense_corridor,Dense Corridor,stereo,0050,9,9,48,2,0.0,0.0,0,1,collision_risk,3,4.242640687119286,39.6232255123179,37.36308338453881,0.0,0.6939620971679688,0.9999998807907104,1.9597909995354712,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_043_dense_corridor_stereo_trajectory.png
44,4,dense_corridor,Dense Corridor,mono,0050,9,9,48,2,0.16666662693023682,0.0,0,0,max_steps,200,56.56854249492377,39.6232255123179,47.01063709417264,0.0,0.0008291872218251228,0.16666662693023682,126.95008299851906,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_044_dense_corridor_mono_trajectory.png
45,4,obstacle_cluster,Obstacle Cluster,stereo,0060,9,9,48,2,0.0,0.0,0,1,collision_risk,3,4.242640687119286,39.6232255123179,37.36308338453881,0.0,0.6939620971679688,0.9999998807907104,1.793667001038557,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_045_obstacle_cluster_stereo_trajectory.png
46,4,obstacle_cluster,Obstacle Cluster,mono,0060,9,9,48,2,0.16666662693023682,0.0,0,0,max_steps,200,56.56854249492377,39.6232255123179,47.01063709417264,0.0,0.0008291872218251228,0.16666662693023682,141.72295900061727,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_046_obstacle_cluster_mono_trajectory.png
47,4,lateral_maneuver,Lateral Maneuver,stereo,0010,1,2,46,37,0.0,0.0,0,0,max_steps,200,67.46803743153542,57.0087712549569,12.36931687685298,0.0,0.0325254462659359,0.7515430450439453,140.32387499901233,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_047_lateral_maneuver_stereo_trajectory.png
48,4,lateral_maneuver,Lateral Maneuver,mono,0010,1,2,46,37,0.0,0.11824844777584076,0,1,collision_risk,39,55.154328932550676,57.0087712549569,7.211102550927978,0.0,0.04611785709857941,0.9999998807907104,27.129082998726517,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_048_lateral_maneuver_mono_trajectory.png
49,4,stress_density,Stress Density,stereo,0040,1,2,29,9,0.0,0.0,0,1,collision_risk,8,11.313708498984763,28.861739379323623,20.024984394500787,0.0,0.11057527363300323,0.9951774477958679,5.428415999631397,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_049_stress_density_stereo_trajectory.png
50,4,stress_density,Stress Density,mono,0040,1,2,29,9,0.0,0.0,0,1,collision_risk,29,41.012193308819754,28.861739379323623,22.02271554554524,0.0,0.05677082762122154,0.9999998807907104,19.6503750012198,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week04_navigation_integration/final/trajectories/episode_050_stress_density_mono_trajectory.png
