run_id,episode,reward,steps,success,navigation_efficiency,goal_distance,grid_size,max_episode_steps,timestamp_utc
2026-04-03_15-35-09,705,-101.44138088757148,200,0,0.014840830370231983,64.38167441127949,50,200,2026-04-03T20:51:13.295178
2026-04-03_15-35-09,706,-103.67556209534104,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T20:51:16.575587
2026-04-03_15-35-09,707,-105.2777254381135,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T20:51:19.957931
2026-04-03_15-35-09,708,-105.13854283623623,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T20:51:23.710283
2026-04-03_15-35-09,709,-105.26063484420861,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T20:51:26.737122
2026-04-03_15-35-09,710,-100.78868207821499,200,0,0.014694251449008376,65.05382386916237,50,200,2026-04-03T20:51:30.257387
2026-04-03_15-35-09,711,-98.7040798700065,200,0,0.015144232602744119,63.0317380372777,50,200,2026-04-03T20:51:32.894494
2026-04-03_15-35-09,712,-105.63050066941135,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T20:51:36.590740
2026-04-03_15-35-09,713,-94.0165766612271,200,0,0.015607021214299889,61.07372593840988,50,200,2026-04-03T20:51:40.087888
2026-04-03_15-35-09,714,-102.4683195394637,200,0,0.014694251449008376,65.05382386916237,50,200,2026-04-03T20:51:42.963347
2026-04-03_15-35-09,715,-96.82693449277086,200,0,0.015327675363100063,62.24146527838174,50,200,2026-04-03T20:51:45.850462
2026-04-03_15-35-09,716,-98.52573676266894,200,0,0.015166112325465147,62.93647591023825,50,200,2026-04-03T20:51:48.420340
2026-04-03_15-35-09,717,-97.99261761068415,200,0,0.015002553017897154,63.655321851358195,50,200,2026-04-03T20:51:52.259413
2026-04-03_15-35-09,718,-99.30881659020497,200,0,0.015002553017897154,63.655321851358195,50,200,2026-04-03T20:51:55.933338
2026-04-03_15-35-09,719,-103.98874977774474,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T20:51:58.625971
2026-04-03_15-35-09,720,-101.0393934142575,200,0,0.014847677195736854,64.35060217278468,50,200,2026-04-03T20:52:01.381257
2026-04-03_15-35-09,721,-103.8052996604877,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T20:52:51.899810
2026-04-03_15-35-09,722,-79.06615020256197,200,0,0.016938902237140722,56.0357029044876,50,200,2026-04-03T20:52:56.216167
2026-04-03_15-35-09,723,-93.32792080241296,200,0,0.015762912443755845,60.440052945046304,50,200,2026-04-03T20:52:59.113169
2026-04-03_15-35-09,724,-104.97290465146072,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T20:53:02.246095
2026-04-03_15-35-09,725,-1577.8178321513176,16,0,0.01611943209085784,60.876925020897694,50,200,2026-04-03T20:53:04.770686
2026-04-03_15-35-09,726,-104.16241401630971,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T20:53:07.237593
2026-04-03_15-35-09,727,-102.43180827507857,200,0,0.014690933476920654,65.06919393998976,50,200,2026-04-03T20:53:10.268981
2026-04-03_15-35-09,728,-83.6093935780264,200,0,0.016885396950343398,56.22277118748239,50,200,2026-04-03T20:53:14.549017
2026-04-03_15-35-09,729,-99.8390721492091,200,0,0.015002553017897154,63.655321851358195,50,200,2026-04-03T20:53:17.298098
2026-04-03_15-35-09,730,-97.86645235122772,200,0,0.015158808383651329,62.96824596572466,50,200,2026-04-03T20:53:20.373097
2026-04-03_15-35-09,731,-98.47357275501768,200,0,0.015158808383651329,62.96824596572466,50,200,2026-04-03T20:53:23.220589
2026-04-03_15-35-09,732,-102.72603912485168,200,0,0.014690933476920654,65.06919393998976,50,200,2026-04-03T20:53:25.530102
2026-04-03_15-35-09,733,-101.62371965039227,200,0,0.014694251449008376,65.05382386916237,50,200,2026-04-03T20:53:28.884991
2026-04-03_15-35-09,734,-102.74653092934211,200,0,0.014694251449008376,65.05382386916237,50,200,2026-04-03T20:53:31.190956
2026-04-03_15-35-09,735,-98.87794486065616,200,0,0.014991956837375139,63.702433234531945,50,200,2026-04-03T20:53:34.532464
2026-04-03_15-35-09,736,-102.77867499484385,200,0,0.014690933476920654,65.06919393998976,50,200,2026-04-03T20:53:37.054340
2026-04-03_15-35-09,737,-1103.6217358078272,4,0,0.01529271740544081,64.35060217278468,50,200,2026-04-03T20:54:23.724670
2026-04-03_15-35-09,738,-102.12085665506807,200,0,0.014694251449008376,65.05382386916237,50,200,2026-04-03T20:54:27.317026
2026-04-03_15-35-09,739,-97.93486658596397,200,0,0.015158808383651329,62.96824596572466,50,200,2026-04-03T20:54:30.158093
2026-04-03_15-35-09,740,-88.87273441230516,200,0,0.016233676290783778,58.60034129593445,50,200,2026-04-03T20:54:33.722243
2026-04-03_15-35-09,741,-104.11732820616211,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T20:54:36.407525
2026-04-03_15-35-09,742,-100.73554827348805,200,0,0.014847677195736854,64.35060217278468,50,200,2026-04-03T20:54:39.165066
2026-04-03_15-35-09,743,-94.12070682317723,200,0,0.015655105496591208,60.876925020897694,50,200,2026-04-03T20:54:41.632166
2026-04-03_15-35-09,744,-104.17372145855725,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T20:54:44.008393
2026-04-03_15-35-09,745,-102.48555682994052,200,0,0.014690933476920654,65.06919393998976,50,200,2026-04-03T20:54:46.624237
2026-04-03_15-35-09,746,-97.91436575750987,200,0,0.015158808383651329,62.96824596572466,50,200,2026-04-03T20:54:49.891453
2026-04-03_15-35-09,747,-102.64453577271661,200,0,0.014690933476920654,65.06919393998976,50,200,2026-04-03T20:54:52.542026
2026-04-03_15-35-09,748,-84.67520266453376,200,0,0.01607638457164266,59.20304046246274,50,200,2026-04-03T20:54:56.712749
2026-04-03_15-35-09,749,-96.83410672897212,200,0,0.015144232602744119,63.0317380372777,50,200,2026-04-03T20:55:00.304682
2026-04-03_15-35-09,750,-100.70845513644286,200,0,0.014847677195736854,64.35060217278468,50,200,2026-04-03T20:55:03.730896
2026-04-03_15-35-09,751,-94.569863156511,200,0,0.015490702006891422,61.554853586049575,50,200,2026-04-03T20:55:06.603148
2026-04-03_15-35-09,752,-78.4976955755952,200,0,0.017428190127981715,54.378304497290095,50,200,2026-04-03T20:55:11.412730
2026-04-03_15-35-09,753,-97.13858796406087,200,0,0.015297568801352924,62.369864518050704,50,200,2026-04-03T20:55:58.788163
2026-04-03_15-35-09,754,-102.92478433115078,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T20:56:02.471587
2026-04-03_15-35-09,755,-101.15694040428177,200,0,0.014840830370231983,64.38167441127949,50,200,2026-04-03T20:56:05.390452
2026-04-03_15-35-09,756,-99.78280418083848,200,0,0.014991956837375139,63.702433234531945,50,200,2026-04-03T20:56:08.351118
2026-04-03_15-35-09,757,-97.83350337791958,200,0,0.015144232602744119,63.0317380372777,50,200,2026-04-03T20:56:11.293993
2026-04-03_15-35-09,758,-104.87767981016964,200,0,0.014395109419717729,66.46803743153546,50,200,2026-04-03T20:56:14.352714
2026-04-03_15-35-09,759,-95.11545141208146,200,0,0.015475132526931253,61.61980201201558,50,200,2026-04-03T20:56:16.868201
2026-04-03_15-35-09,760,-98.37307466888515,200,0,0.015144232602744119,63.0317380372777,50,200,2026-04-03T20:56:19.854112
2026-04-03_15-35-09,761,-104.05188983628241,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T20:56:22.327207
2026-04-03_15-35-09,762,-104.14295991401106,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T20:56:24.824767
2026-04-03_15-35-09,763,-100.82275098049564,200,0,0.014840830370231983,64.38167441127949,50,200,2026-04-03T20:56:27.831439
2026-04-03_15-35-09,764,-101.25258020059876,200,0,0.014840830370231983,64.38167441127949,50,200,2026-04-03T20:56:30.443208
2026-04-03_15-35-09,765,-101.04544861745848,200,0,0.014840830370231983,64.38167441127949,50,200,2026-04-03T20:56:33.596814
2026-04-03_15-35-09,766,-100.50766190473114,200,0,0.015158808383651329,62.96824596572466,50,200,2026-04-03T20:56:36.662128
2026-04-03_15-35-09,767,-102.67665040400733,200,0,0.014694251449008376,65.05382386916237,50,200,2026-04-03T20:56:39.312363
2026-04-03_15-35-09,768,-103.90015573377164,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T20:56:42.231713
2026-04-03_15-35-09,769,-71.67611934299332,200,0,0.01830709261918721,51.62363799656123,50,200,2026-04-03T20:57:35.090053
2026-04-03_15-35-09,770,-92.22806862156663,200,0,0.01584579237197416,60.108235708594876,50,200,2026-04-03T20:57:38.248684
2026-04-03_15-35-09,771,-100.43965556977473,200,0,0.014840830370231983,64.38167441127949,50,200,2026-04-03T20:57:41.390671
2026-04-03_15-35-09,772,-99.20956028232524,200,0,0.015002553017897154,63.655321851358195,50,200,2026-04-03T20:57:44.421875
2026-04-03_15-35-09,773,-91.2094856741164,200,0,0.015987644818727064,59.54829972383762,50,200,2026-04-03T20:57:47.409446
2026-04-03_15-35-09,774,-99.66034975465375,200,0,0.014991956837375139,63.702433234531945,50,200,2026-04-03T20:57:50.545862
2026-04-03_15-35-09,775,-115.40627494894346,200,0,0.015144232602744119,63.0317380372777,50,200,2026-04-03T20:57:53.774837
2026-04-03_15-35-09,776,-89.70123917466373,200,0,0.01591941320116355,59.81638571495272,50,200,2026-04-03T20:57:56.993474
2026-04-03_15-35-09,777,-98.46443837259739,200,0,0.015144232602744119,63.0317380372777,50,200,2026-04-03T20:57:59.441354
2026-04-03_15-35-09,778,-86.20237261030033,200,0,0.016120221108337676,59.033888572581766,50,200,2026-04-03T20:58:03.312468
2026-04-03_15-35-09,779,-103.75785055275865,200,0,0.014542338320164393,65.76473218982953,50,200,2026-04-03T20:58:06.060594
2026-04-03_15-35-09,780,-91.08917215092718,200,0,0.016233676290783778,58.60034129593445,50,200,2026-04-03T20:58:10.510312
