episode,episode_variant,controller,scenario_id,scenario_name,mode,frame_id,step,row,col,ppo_action,selected_action,reason,proposed_score,selected_score,obstacle_risk,hazard_risk,distance_to_goal
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,34,43,7,3,5,negative_progress,0.2508043361453751,-4.391589304895495,0.0,0.27455952763557434,6.4031242374328485
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,35,44,6,3,5,negative_progress,3.243240900871627,1.128436356180357,0.0,0.42673805356025696,5.0
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,36,45,6,3,4,negative_progress,8.808766061107258,6.914961938293605,0.0,0.4897933602333069,4.47213595499958
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,38,47,7,3,4,negative_progress,9.348685399905388,7.1353646183502555,0.0,0.42673805356025696,5.0
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,39,48,7,3,4,negative_progress,9.189741995382347,7.602156333598062,0.0,0.4151366353034973,5.0990195135927845
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,40,49,6,3,5,negative_progress,9.148802426981026,6.255072940519563,0.0,0.4897933602333069,4.47213595499958
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,41,49,7,3,2,negative_progress,13.14168804557683,13.14168804557683,0.0,0.3821907341480255,5.385164807134504
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,42,49,8,3,2,negative_progress,10.137197421426482,10.137197421426482,0.0,0.2822323739528656,6.324555320336759
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,43,48,8,3,0,negative_progress,6.5068668081894065,5.846378976347738,0.0,0.30656158924102783,6.082762530298219
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,44,47,8,3,0,negative_progress,9.215830758382104,6.929970316378213,0.0,0.31512877345085144,6.0
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,45,46,8,3,0,negative_progress,9.238409722485255,4.270620533228297,0.0,0.30656158924102783,6.082762530298219
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,46,46,7,3,6,negative_progress,7.831257576036393,2.866730468947507,0.0,0.4151366353034973,5.0990195135927845
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,47,45,6,3,7,negative_progress+loop_prevention,13.348685399905387,6.392879712446342,0.0,0.4897933602333069,4.47213595499958
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,48,44,6,3,0,negative_progress+loop_prevention,14.18568157105947,10.242797753432939,0.0,0.42673805356025696,5.0
