episode,episode_variant,controller,scenario_id,scenario_name,mode,frame_id,step,row,col,ppo_action,selected_action,action_confidence,shield_overrode,shield_reason,obstacle_risk,hazard_risk,combined_risk,distance_to_goal,progress,done,done_reason
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,19,21,21,3,3,0.9880869388580322,0,not_applied,0.631172776222229,0.012571582570672035,0.631172776222229,30.23243291566195,1.3903436860218434,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,20,22,22,3,3,0.9875049591064453,0,not_applied,0.10821758955717087,0.004851515870541334,0.10821758955717087,28.844410203711913,1.3880227119500361,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,21,23,23,3,3,0.9868404865264893,0,not_applied,0.5385802388191223,0.004059298895299435,0.5385802388191223,27.459060435491963,1.3853497682199496,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,22,24,24,3,3,0.9861619472503662,0,not_applied,0.6749613285064697,0.010588866658508778,0.6749613285064697,26.076809620810597,1.3822508146813668,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,23,25,25,3,3,0.985450029373169,0,not_applied,0.5989583134651184,0.024675153195858,0.5989583134651184,24.698178070456937,1.37863155035366,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,24,26,26,3,3,0.9847055077552795,0,not_applied,0.03221450373530388,0.051366761326789856,0.051366761326789856,23.323807579381203,1.3743704910757337,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,25,27,27,3,3,0.9839268326759338,0,not_applied,0.025077160447835922,0.0955248773097992,0.0955248773097992,21.95449840010015,1.3693091792810534,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,26,28,28,3,3,0.9831227660179138,0,not_applied,0.10898919403553009,0.1586948037147522,0.1586948037147522,20.591260281974,1.363238118126148,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,27,29,29,3,3,0.9822805523872375,0,not_applied,0.0,0.2355162501335144,0.2355162501335144,19.235384061671343,1.3558762203026582,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,28,30,30,3,3,0.9813591837882996,0,not_applied,0.0868055522441864,0.312241792678833,0.312241792678833,17.88854381999832,1.346840241673025,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,29,31,31,3,3,0.9804003238677979,0,not_applied,0.0,0.3698052763938904,0.3698052763938904,16.55294535724685,1.33559846275147,0,
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,30,32,32,3,3,0.9793463945388794,0,not_applied,0.0,0.3912615180015564,0.3912615180015564,15.231546211727817,1.321399145519031,0,
